City,Species,DBH,TF,BLVD,SidewalkDamage,SGR,Shape
3,6,14,5.2,9,1,110,210
3,6,19,7.5,9,1,110,210
3,6,20,8.6,10,1,110,200
3,6,15,5.8,10,1,110,210
3,6,12,3.9,9,1,110,210
3,6,21,8.2,10,1,110,210
3,6,10,3.6,9,1,110,210
6,7,23,9.9,6.5,1,110,210
6,7,11,5,10,0,110,210
6,7,11,5.6,0,0,110,210
6,7,18,6,0,0,110,210
6,7,23,8.1,6.5,0,110,200
6,7,17,5.5,6.5,1,110,210
6,7,11,3.8,6.5,0,110,210
6,7,26,10,6.5,1,110,210
6,7,21,7.2,6.5,1,110,210
6,7,20,6.7,6.5,1,110,210
6,7,24,8.3,6.5,1,110,210
6,7,18,5.6,6.5,0,110,210
6,7,14,5,6.5,1,110,210
6,7,7,2.2,6.5,1,110,210
6,7,8,2.5,6.5,0,110,210
6,7,7,2.6,7.5,0,110,210
6,7,18,5.8,7.5,0,110,210
6,7,6,2,7.5,0,110,210
6,7,17,5.3,7.5,0,120,210
6,7,16,5.3,7.5,0,110,210
6,7,17,5.4,7.5,0,110,210
6,7,19,6.7,6.5,1,110,210
4,7,21,8.2,10,1,110,210
4,7,15,5.6,10,0,110,210
4,7,22,8.2,10,1,110,210
4,7,20,6.9,10,1,110,210
4,7,17,5.7,10,0,110,210
4,7,31,11.4,5,0,110,210
4,7,24,7.9,5,0,110,210
4,7,27,9.6,5,0,110,210
4,7,28,8.9,5,0,110,210
4,7,19,6.5,5,0,110,210
4,7,23,8.7,5,0,110,210
6,7,14,4.3,6.5,0,110,210
6,7,11,3.6,6.5,0,110,210
6,7,12,3.7,6.5,1,110,210
6,7,15,5.7,6.5,0,110,210
6,7,23,8.7,8,0,110,210
6,7,30,9.7,8,1,110,210
2,7,28,9.3,11,0,110,210
2,7,18,6.4,2.7,0,110,210
4,7,19,7.6,14,0,110,210
4,7,17,6.6,14,0,110,210
4,7,10,3.8,8,0,110,210
2,7,17,6.3,9,0,110,210
2,7,21,7.8,9,0,110,210
2,7,14,4.3,9,0,110,210
2,7,25,7.6,9,0,110,210
2,7,23,7.4,9,0,110,210
2,7,13,4.5,9,0,110,210
2,7,13,4.3,9,0,110,200
2,7,17,6.3,9,0,110,210
2,7,15,6.1,9,0,110,210
2,7,8,2.9,9,0,110,210
2,7,15,5.1,9,1,110,210
2,7,15,4.4,9,0,110,210
2,7,22,7.6,9,0,110,210
2,7,21,7.1,9,1,110,210
2,7,29,8.6,12.7,0,110,210
2,7,16,5.6,7.3,0,110,210
2,7,27,9.4,9,0,110,210
2,7,21,6.8,9,1,110,210
2,7,11,3.8,9,0,110,210
2,7,22,6.6,7.5,1,110,210
2,7,25,8.3,9,1,110,210
2,7,20,6.4,9,1,110,210
2,7,20,7.9,9,0,110,210
2,7,25,8.6,9,0,110,210
2,7,21,7.9,2.3,0,110,200
2,7,17,5.5,2.9,0,110,210
2,7,21,7.7,8,0,110,200
2,7,20,7.7,8,0,110,210
2,7,17,5.8,4.2,0,110,210
2,7,21,6.9,4.2,0,110,210
2,7,21,7.2,4.2,0,110,210
2,7,12,5.1,7.5,0,110,200
2,7,23,8.2,7.5,0,110,210
2,7,17,5.5,7.5,0,110,210
2,7,22,8.1,7.5,0,110,210
2,7,23,8.1,7.5,0,110,210
2,7,18,6.6,1,0,110,200
2,7,12,4.6,2,0,110,210
2,7,20,7.8,2,0,110,210
2,7,24,10.1,2,0,110,210
2,7,20,6.7,3,0,110,210
2,7,21,7.1,5.4,0,110,210
2,7,32,9.8,3.5,0,110,210
2,7,20,5.9,5.5,0,110,210
2,7,16,5.4,5.5,0,110,210
2,7,24,10.6,5.5,0,110,210
2,7,25,7.9,5.5,0,110,210
2,7,18,6.4,9,0,120,200
2,7,25,8.6,9,1,110,210
2,7,19,7.8,9,1,110,210
2,7,12,4.3,9,0,110,210
2,7,18,6.6,9,1,110,210
2,7,19,8.3,3.9,0,110,210
2,7,22,8.2,3,0,110,210
2,7,21,7.4,3,0,110,210
2,7,18,6.9,2.3,0,110,200
2,7,23,8.7,9,0,110,210
2,7,23,7.3,9,1,110,210
2,7,26,9,9,1,110,210
2,7,20,5.9,9,1,110,210
2,7,17,5.5,9,1,110,210
4,7,23,9,3.6,0,110,210
4,7,18,6.6,3.6,0,110,210
4,7,21,9.9,3.6,0,110,220
4,7,16,5.4,3.6,0,110,210
2,7,17,6.5,2.8,0,110,210
2,7,19,7.1,2.4,0,110,210
2,7,20,7.9,2,0,110,200
2,7,19,7.1,2.3,0,110,210
4,7,20,7.7,3.6,0,110,210
4,7,20,6.8,3.6,0,110,210
4,7,15,5.8,3.6,0,110,200
4,7,20,8.7,3.6,0,110,210
4,7,16,6.8,3.6,0,110,210
4,7,21,8.4,3.6,0,110,210
4,7,22,9.3,3.6,0,110,210
4,7,15,5.2,3.6,0,110,210
4,7,22,8.8,3.6,0,110,210
4,7,22,8.3,3.6,0,110,210
4,7,19,7.1,5,0,110,210
4,7,28,10.5,5,0,110,210
4,7,22,7.7,5,0,110,210
4,7,12,4,5.7,0,110,210
4,7,31,10.1,9.5,0,110,210
4,7,25,7.7,9.5,0,110,210
4,7,24,8.4,13.8,0,110,210
4,7,19,7.6,6.7,0,100,210
4,7,24,8.4,6,0,110,210
4,7,9,3.6,5,0,110,210
4,7,17,6.5,5,0,110,210
4,7,27,11.4,5,0,110,210
4,7,20,7.7,5,0,120,210
4,7,21,7.5,16,0,110,220
4,7,23,7.7,16,1,110,210
4,7,16,5.9,16,0,110,210
4,7,21,8.6,20,0,110,210
4,7,19,7.1,20,1,110,210
4,7,15,6.2,10,0,110,210
1,7,15,5.4,7,0,110,210
1,7,16,6.5,7,0,110,210
1,7,28,10.9,6,0,110,210
1,7,12,4.8,6,0,110,210
1,7,9,3.2,6,0,110,210
1,7,14,4.8,12,0,110,210
1,7,13,4.9,12,0,110,210
1,7,21,6.6,12,0,110,210
1,7,12,4.2,5,0,110,210
1,7,11,3.6,5,0,110,210
1,7,15,5.3,5,0,110,210
1,7,17,6.1,5,0,110,210
1,7,16,5.4,5,0,110,210
1,7,16,5.9,5,0,110,210
1,7,15,5.1,5,0,110,210
1,7,14,5.3,5,0,110,210
1,7,11,4.1,5,0,110,200
1,7,7,2.2,8,0,110,210
1,7,8,3,8,0,110,210
1,7,13,4.9,9,0,110,210
1,7,11,4.2,9,0,110,210
3,7,15,5.6,9,1,110,210
3,7,27,8.3,9,1,110,210
3,7,18,6.9,9,1,110,210
3,7,21,7.3,9,1,110,210
3,7,15,5.2,10,1,110,210
3,7,15,6,9,1,110,200
3,7,15,5,9,1,110,210
3,7,11,4.3,10,0,110,210
3,7,6,2.4,8,0,110,210
3,7,12,4.6,8,0,110,210
3,7,9,3.3,8,0,110,210
5,7,10,4.2,11,0,110,210
5,7,24,8.3,10,1,110,210
5,7,13,5,10,1,110,210
5,7,9,3.5,9,0,110,200
5,7,10,3.4,9,0,110,210
5,7,15,6.4,9,1,110,210
5,7,11,4.4,9,0,110,210
5,7,10,3.8,9,0,110,210
5,7,9,3.1,9,0,110,210
5,7,20,7.8,9,1,110,210
5,7,26,9.2,9,1,110,210
5,7,31,13,9,1,110,210
5,7,10,4.47,9,0,110,210
5,7,9,3.6,9,0,110,200
5,7,10,3.6,9,1,110,210
5,7,11,3.9,9,1,110,210
5,7,13,5.6,9,0,110,220
5,7,13,5.7,9,0,110,210
5,7,11,4.7,8,1,110,210
5,7,6,2.2,8,0,110,210
5,7,7,2.7,10,1,110,210
5,7,34,12.9,10,1,110,210
5,7,23,9.5,10,1,110,210
5,7,17,6.1,10,0,110,210
5,7,6,2.6,10,0,110,210
5,7,25,9.1,10,0,110,210
5,7,14,4.7,10,0,110,210
5,7,20,7.9,10,0,110,210
