Route,Lat,Lon
500120,47.079201,-95.988403
500120,47.0714,-95.998001
500120,47.0648,-95.999001
500120,47.061501,-96.040298
500120,47.049999,-96.048401
500120,47.034302,-96.0718
500120,47.0355,-96.088699
500120,47.006401,-96.122803
500120,47.000401,-96.130096
500121,46.3843,-95.5802
500121,46.375,-95.572601
500121,46.3699,-95.579597
500121,46.369801,-95.5895
500121,46.3699,-95.6036
500121,46.3643,-95.6129
500121,46.316101,-95.611801
500121,46.3116,-95.601402
500121,46.2943,-95.590698
500121,46.2584,-95.605499
500122,46.4571,-94.583298
500122,46.4716,-94.5802
500122,46.4711,-94.5989
500122,46.486801,-94.622803
500122,46.500702,-94.625504
500122,46.500599,-94.695
500122,46.513199,-94.696098
500122,46.529099,-94.697304
500122,46.539101,-94.738701
500122,46.5569,-94.737099
500123,46.347,-93.496902
500123,46.332802,-93.4953
500123,46.334301,-93.408501
500123,46.3349,-93.3825
500123,46.3344,-93.3713
500123,46.334999,-93.361504
500123,46.334599,-93.353798
500123,46.334702,-93.3452
500123,46.334599,-93.3368
500123,46.334702,-93.3293
500124,46.1525,-92.614304
500124,46.125401,-92.625603
500124,46.115799,-92.6269
500124,46.103401,-92.617302
500124,46.081402,-92.600304
500124,46.071201,-92.606598
500124,46.0555,-92.612701
500124,46.041302,-92.614502
500124,46.030399,-92.615799
500124,46.0144,-92.615402
500126,45.629799,-96.232903
500126,45.613899,-96.232498
500126,45.6007,-96.211502
500126,45.585899,-96.2033
500126,45.564701,-96.157997
500126,45.555599,-96.155998
500126,45.557201,-96.127998
500126,45.536701,-96.1185
500126,45.524899,-96.0765
500126,45.512501,-96.057602
500127,45.575901,-95.174797
500127,45.563202,-95.173302
500127,45.546799,-95.173203
500127,45.530102,-95.172997
500127,45.498798,-95.167801
500127,45.492699,-95.152298
500127,45.459499,-95.172897
500127,45.4534,-95.155899
500127,45.443699,-95.163101
500127,45.416901,-95.1717
500128,45.312901,-94.465202
500128,45.327202,-94.464897
500128,45.3283,-94.505203
500128,45.3424,-94.505898
