strtno,year,period,rblval,deply,nesting2,size
31,1999,4,2.069603905,2,0,6.42
32,1998,1,0.194339454,1,1,3.48
32,1998,2,0.245230817,1,NA,3.48
32,1998,3,1.264585338,1,NA,3.48
32,1998,4,2.266193969,1,0,3.48
32,1999,1,0.122724249,1,0,3.48
32,1999,2,0.237130165,1,0,3.48
32,1999,3,1.277831727,1,0,3.48
32,1999,4,2.187682444,1,0,3.48
33,1997,1,0.150551309,2,0,3.48
33,1997,2,0.151947691,2,0,3.48
33,1997,3,0.89722971,2,0,3.48
33,1997,4,2.149383313,2,0,3.48
33,1998,1,0.188804437,2,0,3.48
33,1998,2,0.238584167,2,0,3.48
33,1998,3,1.23889974,2,0,3.48
33,1998,4,2.254082278,2,0,3.48
33,1999,1,0.122975124,2,0,3.48
33,1999,2,0.237557991,2,0,3.48
33,1999,3,1.27752057,2,0,3.48
33,1999,4,2.17001637,2,0,3.48
35,1997,1,0.169750668,2,0,0.06
35,1997,2,0.169761475,2,0,0.06
35,1997,3,0.709113184,2,0,0.06
35,1997,4,1.47995187,2,0,0.06
35,1998,1,0.179271753,2,0,0.06
35,1998,2,0.20910244,2,0,0.06
35,1998,3,0.833297143,2,0,0.06
35,1998,4,1.518866487,2,0,0.06
35,1999,1,0.18197664,2,0,0.06
35,1999,2,0.261890644,2,0,0.06
35,1999,3,0.95816348,2,0,0.06
35,1999,4,1.485953845,2,0,0.06
36,1997,1,0.187367707,1,0,0.68
36,1997,2,0.187378559,1,0,0.68
36,1997,3,0.708927406,1,0,0.68
36,1997,4,1.466626905,1,0,0.68
36,1998,1,0.195566554,1,0,0.68
36,1998,2,0.225320006,1,0,0.68
36,1998,3,0.844051111,1,0,0.68
36,1998,4,1.505459453,1,0,0.68
37,1997,1,0.188974028,1,0,1.11
37,1997,2,0.193545423,1,0,1.11
37,1997,3,0.80869192,1,0,1.11
37,1997,4,1.804748337,1,0,1.11
37,1998,1,0.214466521,1,0,1.11
37,1998,2,0.264106136,1,0,1.11
37,1998,3,1.101401097,1,0,1.11
37,1998,4,2.005612326,1,0,1.11
37,1999,1,0.169483783,1,0,1.11
37,1999,2,0.267915016,1,0,1.11
37,1999,3,1.118293174,1,0,1.11
37,1999,4,1.878226131,1,0,1.11
38,1997,1,0.206319337,2,0,0.23
38,1997,2,0.210887878,2,0,0.23
38,1997,3,0.781234862,2,0,0.23
38,1997,4,1.794382933,2,0,0.23
38,1998,1,0.246834619,2,0,0.23
38,1998,2,0.295136238,2,0,0.23
38,1998,3,1.106137335,2,0,0.23
38,1998,4,2.004325407,2,0,0.23
38,1999,1,0.1812858,2,0,0.23
38,1999,2,0.277609599,2,0,0.23
38,1999,3,1.104383445,2,1,0.23
38,1999,4,1.873364141,2,0,0.23
39,1997,1,0.208648029,2,0,0.23
39,1997,2,0.213215969,2,0,0.23
39,1997,3,0.773067076,2,0,0.23
39,1997,4,1.779722865,2,0,0.23
39,1998,1,0.253676774,2,0,0.23
39,1998,2,0.301400856,2,0,0.23
39,1998,3,1.099933343,2,0,0.23
39,1998,4,1.993092182,2,0,0.23
39,1999,1,0.184227066,2,0,0.23
39,1999,2,0.279805577,2,0,0.23
39,1999,3,1.097568946,2,0,0.23
39,1999,4,1.862489908,2,0,0.23
40,1997,1,0.225262319,1,0,2.24
40,1997,2,0.229828472,1,1,2.24
40,1997,3,0.75781004,1,NA,2.24
40,1997,4,1.759237636,1,1,2.24
40,1998,1,0.277099128,1,0,2.24
40,1998,2,0.32347045,1,1,2.24
40,1998,3,1.09213438,1,NA,2.24
40,1998,4,1.979427664,1,NA,2.24
40,1999,1,0.196277912,1,0,2.24
40,1999,2,0.289919798,1,1,2.24
40,1999,3,1.085680677,1,0,2.24
40,1999,4,1.846767582,1,0,2.24
41,1997,1,0.168177088,2,0,20.16
41,1997,2,0.168187895,2,1,20.16
41,1997,3,0.825264855,2,0,20.16
41,1997,4,1.659348326,2,1,20.16
41,1998,1,0.172364682,2,0,20.16
41,1998,2,0.211821504,2,1,20.16
41,1998,3,1.005342913,2,0,20.16
41,1998,4,1.717533024,2,0,20.16
41,1999,1,0.190758243,2,1,20.16
41,1999,2,0.290267712,2,0,20.16
41,1999,3,1.135850393,2,0,20.16
41,1999,4,1.695735922,2,1,20.16
42,1997,1,0.152266279,2,0,20.16
42,1997,2,0.152281677,2,0,20.16
42,1997,3,0.855025272,2,0,20.16
42,1997,4,1.730488115,2,1,20.16
42,1998,1,0.157770299,2,1,20.16
42,1998,2,0.19946648,2,0,20.16
42,1998,3,1.035405229,2,0,20.16
42,1998,4,1.794155203,2,0,20.16
42,1999,1,0.172967601,2,1,20.16
42,1999,2,0.278373941,2,0,20.16
42,1999,3,1.173475462,2,0,20.16
42,1999,4,1.762616785,2,0,20.16
43,1997,1,0.276589028,1,0,5.78
43,1997,2,0.278355409,1,1,5.78
43,1997,3,0.709554469,1,NA,5.78
43,1997,4,1.988822663,1,NA,5.78
43,1998,1,0.341922536,1,1,5.78
43,1998,2,0.376353469,1,NA,5.78
43,1998,3,1.204852439,1,NA,5.78
43,1998,4,2.116970771,1,0,5.78
43,1999,1,0.341367798,1,1,5.78
43,1999,2,0.386380704,1,NA,5.78
43,1999,3,1.065276278,1,0,5.78
43,1999,4,1.953351234,1,0,5.78
44,1997,1,0.320088926,1,0,0
44,1997,2,0.324113321,1,0,0
44,1997,3,0.948695464,1,0,0
44,1997,4,2.205786254,1,0,0
44,1998,1,0.248737015,1,0,0
44,1998,2,0.319652905,1,0,0
